#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
232,Salmon Helmet,7.9K,200.0K,188.1K,2374.6%,1,0.108,5x Enchanted Raw Salmon
233,Salmon Boots,6.3K,190.0K,179.9K,2838.6%,1,0.108,4x Enchanted Raw Salmon
234,Sponge Helmet,399.8K,796.0K,380.3K,95.1%,1,0.104,5x Enchanted Wet Sponge
235,Hardened Diamond Chestplate,10.6K,200.0K,185.4K,1743.2%,1,0.103,8x Enchanted Diamond
236,Ender Bow,1.1K,120.0K,116.5K,10422.2%,1,0.101,3x Enchanted Ender Pearl | 3x String
237,Raggedy Shark Tooth Necklace,48.1K,290.0K,236.1K,491.2%,1,0.100,8x Shark Fin | 1x Nurse Shark Tooth
238,Rekindled Ember Chestplate,1.05M,1.50M,420.6K,40.1%,1,0.099,8x Rekindled Ember Fragment
239,Inferno Minion Fuel,4.54M,5.20M,555.9K,12.2%,1,0.099,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
240,Ice Cube,3.1K,140.0K,134.1K,4314.6%,1,0.097,8x Enchanted Ice | 1x Packed Ice
241,Inferno Minion Fuel,4.56M,5.20M,537.7K,11.8%,1,0.096,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
242,Inferno Minion Fuel,4.56M,5.20M,537.3K,11.8%,1,0.096,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
243,Agarimoo Talisman,91.0K,350.0K,252.0K,277.0%,1,0.096,9x Agarimoo Tongue
244,Inferno Minion Fuel,4.57M,5.20M,529.7K,11.6%,1,0.095,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
245,Experience Artifact,866.0K,1.25M,359.0K,41.5%,1,0.091,9x Enchanted Lapis Lazuli Block
246,Farm Armor Boots,4.0K,125.0K,118.5K,2993.0%,1,0.086,4x Enchanted Wheat
247,Sponge Chestplate,639.6K,949.0K,290.4K,45.4%,1,0.081,8x Enchanted Wet Sponge
248,Salmon Chestplate,12.7K,149.0K,133.3K,1052.2%,1,0.080,8x Enchanted Raw Salmon
249,Berserker Leggings,843.5K,1.15M,283.5K,33.6%,1,0.076,4x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
250,Crystal Helmet,603.5K,799.0K,179.5K,29.8%,1,0.051,5x Crystal Fragment
251,Berserker Chestplate,1.05M,1.25M,171.5K,16.3%,1,0.041,5x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
252,Inferno Minion Fuel,4.94M,5.20M,156.4K,3.2%,1,0.015,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
