#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
231,Flamebreaker Leggings,4.3K,200.0K,191.7K,4458.7%,0,0.117,7x Enchanted Hard Stone
232,Emerald Ring,8.1K,220.0K,207.5K,2551.2%,0,0.114,8x Enchanted Emerald
233,Salmon Leggings,11.1K,235.0K,219.2K,1976.9%,0,0.113,7x Enchanted Raw Salmon
234,Rekindled Ember Boots,524.7K,1.00M,455.3K,86.8%,0,0.113,4x Rekindled Ember Fragment
235,Common Hook,5.4K,195.0K,185.7K,3451.2%,0,0.112,2x Enchanted Water Lily | 1x Enchanted Raw Fish
236,Salmon Helmet,7.9K,200.0K,188.1K,2374.6%,0,0.108,5x Enchanted Raw Salmon
237,Salmon Boots,6.3K,190.0K,179.9K,2838.6%,0,0.108,4x Enchanted Raw Salmon
238,Sponge Helmet,399.8K,790.0K,374.4K,93.7%,0,0.103,5x Enchanted Wet Sponge
239,Hardened Diamond Chestplate,10.6K,200.0K,185.4K,1743.1%,0,0.103,8x Enchanted Diamond
240,Ender Bow,1.1K,120.0K,116.5K,10422.8%,0,0.101,3x Enchanted Ender Pearl | 3x String
241,Raggedy Shark Tooth Necklace,48.1K,290.0K,236.1K,491.2%,0,0.100,8x Shark Fin | 1x Nurse Shark Tooth
242,Rekindled Ember Chestplate,1.05M,1.50M,420.6K,40.1%,0,0.099,8x Rekindled Ember Fragment
243,Inferno Minion Fuel,4.54M,5.20M,555.9K,12.2%,0,0.099,6x Nether Stalk Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
244,Ice Cube,3.1K,140.0K,134.1K,4314.6%,0,0.097,8x Enchanted Ice | 1x Packed Ice
245,Inferno Minion Fuel,4.56M,5.20M,537.7K,11.8%,0,0.096,6x Blaze Rod Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
246,Inferno Minion Fuel,4.56M,5.20M,537.3K,11.8%,0,0.096,6x Glowstone Dust Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
247,Inferno Minion Fuel,4.57M,5.20M,529.7K,11.6%,0,0.095,6x Crude Gabagool Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
248,Experience Artifact,866.0K,1.25M,359.0K,41.5%,0,0.091,9x Enchanted Lapis Lazuli Block
249,Farm Armor Boots,4.0K,125.0K,118.5K,2980.9%,0,0.086,4x Enchanted Wheat
250,Sponge Chestplate,639.6K,949.0K,290.4K,45.4%,0,0.081,8x Enchanted Wet Sponge
251,Salmon Chestplate,12.7K,149.0K,133.3K,1052.2%,0,0.080,8x Enchanted Raw Salmon
252,Agarimoo Talisman,135.0K,350.0K,208.0K,154.1%,0,0.079,9x Agarimoo Tongue
253,Berserker Leggings,843.5K,1.15M,283.5K,33.6%,0,0.076,4x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
254,Crystal Helmet,603.5K,799.0K,179.5K,29.8%,0,0.051,5x Crystal Fragment
255,Berserker Chestplate,1.05M,1.25M,171.5K,16.3%,0,0.041,5x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
256,Inferno Minion Fuel,4.94M,5.20M,156.4K,3.2%,0,0.015,6x Magma Cream Distillate | 2x Inferno Fuel Block | 1x Hypergolic Gabagool
