#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
229,Golem Armor Boots,3.6K,299.0K,289.4K,8030.3%,3,0.337,4x Enchanted Iron
230,Weird Tuba,177.5K,5.60M,5.31M,2991.4%,1,0.334,5x Enchanted Iron | 1x Golden Tooth
231,Personal Bank Item,1.1K,80.0K,77.3K,7354.0%,5,0.333,8x Emerald | 1x Enchanted Emerald
232,Crystal Leggings,833.3K,1.85M,979.7K,117.6%,3,0.332,7x Crystal Fragment
233,Emerald Armor Helmet,530.0K,1.40M,842.0K,158.9%,3,0.330,5x Enchanted Emerald Block
234,Strong Dragon Boots,237.0K,5.00M,4.66M,1967.1%,1,0.324,4x Strong Fragment
235,Lesser Orb of Healing,12.4K,40.0K,26.8K,216.2%,11,0.322,9x Mimic Fragment
236,Blaze Boots,1.02M,1.89M,833.1K,81.8%,3,0.321,4x Enchanted Blaze Rod
237,Revenant Leggings,215.3K,800.0K,568.7K,264.1%,3,0.321,3x Revenant Viscera | 4x Enchanted Diamond
238,Crystal Chestplate,952.4K,1.80M,811.6K,85.2%,3,0.321,8x Crystal Fragment
239,Flamebreaker Leggings,4.3K,200.0K,191.7K,4465.8%,3,0.313,7x Enchanted Hard Stone
240,Strong Dragon Chestplate,474.0K,4.90M,4.33M,913.1%,1,0.311,8x Strong Fragment
241,Speedster Leggings,738.3K,1.39M,623.9K,84.5%,3,0.310,7x Enchanted Sugar Cane
242,Tarantula Helmet,837.8K,1.50M,632.2K,75.5%,3,0.309,3x Tarantula Silk | 2x Enchanted Iron
243,Blaze Helmet,1.27M,2.00M,687.5K,54.0%,3,0.309,5x Enchanted Blaze Rod
244,Blaze Leggings,1.78M,3.25M,1.40M,78.8%,2,0.303,7x Enchanted Blaze Rod
245,Berserker Leggings,843.5K,1.15M,283.5K,33.6%,4,0.295,4x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
246,Hyper Furnace,4.0K,80.0K,74.4K,1855.9%,4,0.293,8x Enchanted Cobblestone | 1x Enchanted Coal
247,Chestplate of Growth,18.2K,1.37M,1.32M,7294.1%,1,0.290,8x Enchanted Dark Oak Log
248,Rekindled Ember Helmet,655.9K,1.50M,811.2K,123.7%,2,0.287,5x Rekindled Ember Fragment
249,Thunder Chestplate,513.6K,3.28M,2.70M,525.9%,1,0.286,8x Thunder Shards
250,Revenant Chestplate,285.3K,945.2K,641.0K,224.7%,2,0.285,4x Enchanted Diamond | 4x Revenant Viscera
251,Rekindled Ember Leggings,918.2K,1.79M,836.0K,91.0%,2,0.284,7x Rekindled Ember Fragment
252,Holy Dragon Chestplate,95.6K,1.70M,1.57M,1642.3%,1,0.279,8x Holy Fragment
253,Speedster Boots,421.9K,1.05M,607.1K,143.9%,2,0.277,4x Enchanted Sugar Cane
254,Ichthyic Cloak,336.7K,2.40M,2.02M,598.5%,1,0.276,2x Blue Shark Tooth | 1x Nurse Shark Tooth | 4x Enchanted Shark Fin
255,Berserker Chestplate,1.05M,1.25M,171.5K,16.3%,4,0.266,5x Enchanted Red Sand Cube | 1x Burning Eye | 2x Magma Chunk
256,Rabbit Helmet,4.0K,500.0K,486.0K,12291.8%,1,0.257,4x Enchanted Rabbit Hide | 1x Enchanted Rabbit Foot
257,Tera Shell Necklace,1.37M,3.30M,1.87M,136.5%,1,0.254,4x Enchanted Red Sand Cube | 4x Enchanted Mycelium Cube | 1x Gazing Pearl
258,Crystal Helmet,595.2K,799.0K,187.8K,31.5%,2,0.212,5x Crystal Fragment
259,Speedster Chestplate,843.8K,1.60M,724.2K,85.8%,1,0.211,8x Enchanted Sugar Cane
260,Blaze Chestplate,2.04M,2.90M,806.0K,39.6%,1,0.206,8x Enchanted Blaze Rod
261,Speedster Helmet,527.4K,1.10M,550.6K,104.4%,1,0.203,5x Enchanted Sugar Cane
262,Perfect Boots - Tier I,816.8K,900.0K,65.2K,8.0%,3,0.192,4x Enchanted Diamond Block
263,Rekindled Ember Chestplate,1.05M,1.50M,420.6K,40.1%,1,0.180,8x Rekindled Ember Fragment
264,Diamond Leggings,54,10.0K,9.7K,17921.0%,1,0.108,7x Diamond
